2025-10-04 14:57:27,440 - JARVIS - INFO - [MainThread] - __init__:82 - J.A.R.V.I.S. system initialized
2025-10-04 14:57:27,441 - JARVIS - INFO - [MainThread] - _initialize_essential_modules_only:147 - Initializing essential modules for terminal mode...
2025-10-04 14:57:27,444 - JARVIS.SystemMonitor - INFO - [SystemMonitor] - _monitor_loop:108 - System monitoring loop started
2025-10-04 14:57:27,444 - JARVIS.SystemMonitor - INFO - [MainThread] - start_monitoring:94 - System monitoring started
2025-10-04 14:57:27,446 - JARVIS.ApplicationController - INFO - [MainThread] - initialize:59 - Initializing application controller...
2025-10-04 14:57:27,449 - JARVIS.ApplicationController - INFO - [MainThread] - start_monitoring:505 - Application monitoring started
2025-10-04 14:57:31,329 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 87.7, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:32,482 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:33,710 - JARVIS.ApplicationController - ERROR - [AppMonitor] - _monitor_loop:530 - Error in application monitoring: dictionary changed size during iteration
2025-10-04 14:57:33,734 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:34,054 - JARVIS.ApplicationController - INFO - [MainThread] - _scan_running_applications:130 - Scanned 286 running applications
2025-10-04 14:57:34,055 - JARVIS.ApplicationController - INFO - [MainThread] - initialize:67 - Application controller initialized
2025-10-04 14:57:34,056 - JARVIS.FileManager - INFO - [MainThread] - initialize:72 - Initializing file manager...
2025-10-04 14:57:34,058 - JARVIS.FileManager - INFO - [MainThread] - initialize:77 - File manager initialized
2025-10-04 14:57:34,059 - JARVIS - INFO - [MainThread] - _initialize_essential_modules_only:176 - Essential modules initialized for terminal mode
2025-10-04 14:57:34,839 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:35,956 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:37,059 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:38,161 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:41,540 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:42,655 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:43,767 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:45,244 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.1, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:46,360 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.1, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:47,463 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:48,565 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:53,271 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.4, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:54,389 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:55,492 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:56,595 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:57,709 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:57:58,826 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:02,824 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:03,957 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.7, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:05,955 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.7, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:07,130 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:08,232 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:09,336 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:15,058 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:16,178 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.7, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:17,280 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.7, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:18,383 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:19,499 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:24,310 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:25,435 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:26,536 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:27,640 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.1, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:28,765 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.1, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:29,880 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:33,671 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:34,789 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.4, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:35,892 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.4, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:36,997 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:38,113 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:39,233 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:40,374 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:44,615 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:46,762 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:47,963 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:49,084 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:50,187 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:51,292 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:57,141 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.7, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:58,262 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:58:59,365 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:00,467 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:01,590 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:07,106 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:08,227 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:09,329 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:10,432 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.1, 'threshold': 85, 'unit': 'percent'}
